商品名称,访客数,浏览量,转化率(%),支付买家数,支付件数,支付金额,跳出率(%),停留时长(秒),搜索访客数,访客价值
地板袜宝宝夏季薄款婴儿室内防滑袜,7898,19621,10.96,866,1017,17685.12,70.77,21.29,1445,2.24
夏季儿童地板袜防滑袜子女童,5219,11543,8.81,460,558,12068.8,77.59,19.5,742,2.31
夏季儿童地板袜网眼防滑袜子女室内大,39923,54677,1.22,487,558,11367.96,96.4,7.88,2436,0.28
夏季儿童地板袜网眼防滑袜子女室内,5219,11543,8.81,460,558,11367.96,77.59,19.5,742,2.31
宝宝夏季网眼薄款防滑袜婴幼儿男童,39923,54677,1.22,487,558,11367.96,96.4,7.88,2436,0.28
儿童地板袜防滑隔凉成人居家宝宝家,4024,9852,11.01,443,536,9263.87,72.03,23.83,481,2.3
春秋宝宝地板袜防滑隔凉袜婴儿男婴,3989,8293,9.83,392,472,6908.56,77.93,16.6,1189,1.73
春秋儿童地板袜防滑隔凉宝宝袜林家,9734,16873,4.05,394,495,6798.64,88.76,18.97,361,0.7
夏季儿童地板袜防滑隔凉宝宝袜林家,3962,8995,7.47,296,339,5727.04,77.86,13.94,720,1.45
春秋儿童地板袜防滑隔凉宝宝袜林家,9734,16873,4.05,394,495,6798.64,88.76,18.97,361,0.7
儿童室内地板袜宝宝夏季薄款防滑软,1493,2911,11.72,175,205,4929.84,75.9,17.21,927,3.3
春秋儿童地板袜防滑隔凉宝宝袜袜一,1464,3206,12.5,183,229,4929.83,76.92,20.34,427,3.37
宝宝早教中心儿童地板袜防滑软胶,4982,10059,4.24,211,252,4784.85,79.72,19.15,198,0.96
夏季薄款儿童地板袜防滑隔凉幼儿,1909,4634,10.58,202,248,4595.66,70.96,23.63,676,2.41
春秋儿童地板袜防滑隔凉宝宝袜子女,2998,7686,7.34,220,258,4280.6,66.58,18.77,229,1.43
地板袜儿童宝宝室内爬爬垫防滑隔凉,1082,2106,11.09,120,143,3941.97,69.55,14.71,196,3.64
隔凉防滑软底家居宝宝鞋袜套儿童地,3595,7750,5.84,210,245,3864,69.36,13.02,250,1.07
儿童地板袜防滑隔凉宝宝袜子室内成,2399,5138,5,120,143,2204.89,83.58,20.86,92,0.92
儿童地板袜防滑隔凉宝宝袜子室内,2399,5138,5,120,143,2204.89,83.58,20.86,92,0.92
春秋儿童地板袜宝宝室内防滑隔凉幼,975,2651,10.67,104,120,2189.29,55.1,15,428,2.25
防滑隔凉软底家居宝宝鞋袜套儿童地,551,1382,15.79,84,107,2178.37,64.04,15.03,270,3.95
宝宝薄款夏季大网眼透气地板袜韩男,1776,3634,6.31,112,12,2061.34,57.79,12.43,9,1.16
儿童地板袜隔凉防滑袜子居家大人女,1897,3033,3.22,62,72,1368.93,86.27,23.38,102,0.72
儿童地板袜隔凉防滑袜子居家大人女,1897,3033,3.22,62,72,1368.93,86.27,23.38,102,0.72
夏季儿童地板袜防滑隔凉宝宝袜林家,581,1458,10.15,59,68,1342.6,65.35,12.27,132,2.31
