日期,访客数,加购人数,收藏次数,支付金额,老买家支付金额,支付件数,支付转化率,退款金额,客单价,加购率,退款率,老客占比
2026-05-28,7062,406,52,5601.99,1620.97,319,3.95,1614.03,16.64,5.75,28.81,28.94
2026-05-29,9632,416,64,4875.53,1311.7,293,2.71,1043.51,17.56,4.46,21.4,26.9
2026-05-30,7695,358,56,4917.66,1449.51,281,3.13,1317.53,17.5,4.65,26.79,29.48
2026-05-31,4741,415,36,4790.89,1176.96,372,6.5,1443.58,17.08,8.75,22.08,25.47
2026-06-01,3328,341,39,6537.04,1664.95,266,7.06,1126.17,18.01,10.25,23.51,25.47
2026-06-02,3960,396,40,6019.94,1336.79,341,7.7,1372.56,16.53,10,22.8,22.21
2026-06-03,4352,417,54,5834.49,1604.33,326,6.66,1138.67,18.7,9.58,19.52,27.5
2026-06-04,3675,369,36,5271.97,1315.83,296,5.87,1349.71,17.12,10.04,28.43,24.96
2026-06-05,3086,290,38,3493.69,854.6,204,5.87,1149.27,17.15,9.4,31.53,24.46
2026-06-06,3450,359,28,5096.29,1380.04,291,7.07,1111.03,17.53,10.41,21.8,27.08
2026-06-07,3435,340,23,4049.43,1001.15,238,6.14,1357.09,17.01,9.9,33.51,24.72
2026-06-08,2592,286,25,5004.79,1532.01,273,9.03,1377.8,18.33,11.03,28.26,30.61
2026-06-09,2423,247,20,5004.79,1530.08,233,7.51,1514.46,16.98,10.19,27.53,27.77
2026-06-10,2546,282,31,3958.08,1099.22,233,7.58,1471.05,17.73,11.08,35.62,25.65
2026-06-11,2260,216,16,2903.29,1067.68,168,6.55,1032,17.28,9.56,35.55,36.06
2026-06-12,2702,234,31,3619.68,1124.38,206,6.59,806.41,17.51,8.66,22.28,31.06
2026-06-13,2317,274,22,3668.59,1003.59,199,7.64,767.58,18.43,11.83,20.92,27.36
2026-06-14,2829,339,42,4701.86,1250.3,269,8.34,803.31,17.47,11.98,17.08,26.59
2026-06-15,2737,268,24,4233.67,852.98,235,7.56,974.72,18.05,9.79,23.04,20.15
2026-06-16,3089,287,32,4481.05,1266.65,251,6.8,1184.78,18.52,9.29,26.04,28.26
2026-06-17,2688,226,29,3890.57,927.73,223,6.88,1130.27,17.45,8.41,29.05,23.85
2026-06-18,2812,225,22,3794.08,1166.77,208,6.65,880.01,18.24,8,23.19,30.75
2026-06-19,2731,249,19,4235.41,1341.97,237,7.32,966,17.87,9.12,22.96,31.68
2026-06-20,3131,301,27,4985.89,1517.75,278,7.44,1144.93,17.93,9.61,22.96,30.44
2026-06-21,3401,301,35,4819.36,1194.08,259,6.79,258.52,16.58,8.85,6.02,24.85
2026-06-22,3632,271,31,4819.36,1194.08,231,5.62,1304.35,19.93,7.46,27.06,14.78
2026-06-23,3219,242,31,3948.84,705.81,198,5.25,1345.84,19.94,7.52,34.08,17.87
2026-06-24,2630,203,33,3127.36,902.75,154,5.21,1038.18,20.31,7.72,33.2,28.87
2026-06-25,2893,204,29,3857.82,854.6,182,5.48,841.48,21.19,7.03,21.81,22.15
2026-06-26,2897,173,29,2914.06,578.41,146,4.42,700.31,19.95,5.97,24.03,19.84
