日期,展现量,点击量,花费,点击率,平均点击花费,总成交金额,点击转化率,投入产出比,总购物车数,加购率
2026-05-28,65266,2153,1023.13,0.03,0.48,3090.26,0.08,3.02,317,0.15
2026-05-29,52683,1740,925.93,0.03,0.53,2755.1,0.09,2.77,261,0.15
2026-05-30,51165,1877,1019.34,0.04,0.54,2755.1,0.09,2.77,251,0.13
2026-05-31,55105,2058,1116.15,0.04,0.54,3784.86,0.1,3.39,326,0.16
2026-06-01,41260,1826,977.66,0.04,0.54,2390.81,0.07,2.45,266,0.15
2026-06-02,41355,2002,1146.26,0.05,0.57,3475.17,0.1,3.03,313,0.16
2026-06-03,45500,2070,1150.47,0.05,0.56,3450.82,0.09,3,322,0.16
2026-06-04,46079,1829,923.26,0.04,0.5,2866.15,0.09,3.1,249,0.14
2026-06-05,36858,1530,792.68,0.04,0.52,1861.84,0.07,2.35,203,0.13
2026-06-06,43261,1740,955.73,0.04,0.55,2608.29,0.08,2.73,262,0.15
2026-06-07,48635,1828,964.45,0.04,0.53,2431.31,0.08,2.52,296,0.16
2026-06-08,44098,1702,871.15,0.04,0.51,2804.16,0.09,3.22,240,0.14
2026-06-09,38426,1497,789.39,0.04,0.53,2288.15,0.07,2.9,199,0.13
2026-06-10,39107,1599,889.09,0.04,0.56,2738.9,0.08,3.08,265,0.17
2026-06-11,34976,1396,746.32,0.04,0.53,1455.21,0.06,1.95,152,0.11
2026-06-12,40518,1616,756.64,0.04,0.47,2145.51,0.07,2.84,197,0.12
2026-06-13,35813,1435,667.33,0.04,0.47,1975.11,0.08,2.96,205,0.14
2026-06-14,46000,1759,806.25,0.04,0.46,2570.22,0.08,3.19,252,0.14
2026-06-15,34628,1343,729.83,0.04,0.54,1912.69,0.08,2.62,197,0.15
2026-06-16,27085,1283,631.23,0.05,0.49,2061.31,0.08,3.08,178,0.14
2026-06-17,27058,1288,683.11,0.05,0.53,1961.31,0.08,3.02,187,0.15
2026-06-18,28011,1178,605.44,0.04,0.51,1983.52,0.08,3.28,147,0.12
2026-06-19,24847,1103,626.51,0.04,0.57,2337.25,0.11,3.73,165,0.15
2026-06-20,29482,1318,719.18,0.04,0.55,2566.17,0.11,3.57,230,0.17
2026-06-21,36109,1452,730.85,0.04,0.5,2233.02,0.09,3.06,249,0.17
2026-06-22,36109,1452,730.85,0.04,0.5,2233.02,0.09,3.06,249,0.17
2026-06-23,33267,1406,700.64,0.04,0.5,2448.32,0.08,3.49,190,0.14
2026-06-24,30533,1334,655.1,0.04,0.49,2320.63,0.08,3.54,171,0.13
2026-06-25,29441,1310,653.29,0.04,0.5,1833.1,0.08,2.81,161,0.12
2026-06-26,29586,1197,619.89,0.04,0.52,2090.02,0.08,3.37,174,0.15
